back_dock_failed.wav,"Couldn't reach the charging dock, remove any obstacles, and clean the dock's transmission area."
back_dock_nearby.wav,"Cannot reach the dock, please remove any obstacles!"
bin_in.wav,"Waste bin, installed."
bin_out.wav,"Waste bin, removed."
binout_error10.wav,"Filter is clogged.  Remove the waste bin, and clean the filter!"
bl_recovery_bootfailed.wav,"Failed to start.  Restoring factory settings.  This will take about 5 minutes."
bl_recovery_failed.wav,"Failed to restore factory settings. Try again."
bl_recovery_retry.wav,"Restoring factory settings.  This will take about 5 minutes."
bl_recovery_start.wav,"Restoring factory settings.  This will take about 5 minutes."
bl_recovery_updatefailed.wav,"Failed to update. Restoring factory settings.  This will take about 5 minutes."
charging.wav,"Recharging batteries."
clean_bin.wav,"Empty the waste bin."
clean_finish.wav,"I have finished the cleaning task. Returning to base."
di.wav,"Ding dong!"
ding.wav,"Ding!"
error_internal.wav,"An internal error occurred. Reboot the system."
error1.wav,"Error 1, Turn the laser unit, and check that it is not jammed, or blocked."
error2.wav,"Error 2, Clean and lightly tap the bumper."
error3.wav,"Error 3, Move the vacuum to a new location, and restart."
error4.wav,"Error 4, Clean cliff sensors. Move the vacuum away from any drops, then restart."
error5.wav,"Error 5, Remove and clean the main brush and brush bearing."
error6.wav,"Error 6, Remove and clean the side brush."
error7.wav,"Error 7, Check that wheels are not blocked, then move the vacuum to a new location, and restart."
error8.wav,"Error 8, Remove any obstacles around the vacuum."
error9.wav,"Error 9, Reinstall waste bin and filter."
error10.wav,"Error 10, Check the filter.  If wet, use a dry one.  If dry, clean it, and try again."
error11.wav,"Error 11, Strong magnetic field detected. Move the device away from barrier tape and restart."
error12.wav,"Error 12, Battery level too low, recharge before use."
error13.wav,"Error 13, Charging error.  Clean charging contacts, and try again."
error14.wav,"Error 14, Battery error."
error15.wav,"Error 15, Clean wall sensor."
error16.wav,"Error 16, Place and start the vacuum on a level floor."
error17.wav,"Error 17, Side brush module error. Reset the vacuum."
error18.wav,"Error 18, Fan error. Reset the vacuum."
error19.wav,"Error 19, There is no current on the charging base. Check connection to a power supply."
error21.wav,"Error 21, Height sensor has been pressed.  Move the vacuum, and restart."
error22.wav,"Error 22, Clean the recharge sensor on the vacuum."
error23.wav,"Error 23, Clean the transmission area on the charging dock."
error24.wav,"Error 24, No-Go-Zone or barrier tape detected. Move the vacuum away, and restart."
findme.wav,"Greetings.  My name is Phil, and I am at your service."
finish.wav,"I have completed the cleaning task."
goto.wav,"Going to the target."
goto_complete.wav,"Reached the target."
goto_failed.wav,"Could not reach the target."
home.wav,"Returning to base."
map_restore.wav,"Map has been restored, starting to charge."
no_power.wav,"My batteries are quite low, returning to base."
no_power_charging.wav,"My batteries are quite low. More charging needed."
no_spot_on_dock.wav,"Move the vacuum to the target area, then start spot cleaning."
pause.wav,"Paused."
positioning.wav,"Oh my. I seem to have wandered off. Attemping to reposition."
power_off.wav,"Turning off."
power_off_rejected.wav,"Take the vacuum off the charging dock to turn off."
power_resume_clean.wav,"My batteries have been replenished, resuming cleaning."
relocate_failed.wav,"Route planning failed, could not reach the target."
remote.wav,"Accepting your remote commands"
remote_complete.wav,"No longer accepting your remote commands."
restart_backtodock_ignore_forbidden_zone.wav,"Position failed. The virtual wall of the No-Go-Zone is invalid. Continue recharging."
restart_clean.wav,"Positioning failure, starting a new clean."
restart_clean_fromdock.wav,"Positioning failure, starting a new clean to rebuild the map."
restart_clean_ignore_forbidden_zone.wav,"Positioning failed. The virtual wall of the No-Go-Zone is invalid. Start a new cleaning session."
restart_clean_nodock.wav,"Positioning failure, invalid map. Starting a new clean."
restart_spot_ignore_forbidden_zone.wav,"Position failed. The virtual wall of the No-Go-Zone is invalid. Continuing spot cleaning."
resume_backtodock.wav,"Positioning failure, invalid map. I will attempt to return to base."
resume_clean.wav,"Resuming cleaning activities."
resume_home.wav,"Continue returning to the dock."
resume_room.wav,"Resuming room cleaning."
resume_spot.wav,"Positioning failure, invalid map. Continuing spot cleaning."
resume_zone.wav,"Resuming zoned cleaning."
return_no.wav,"Couldn't return to the starting point."
return_yes.wav,"Couldn't find the dock. Bring vacuum closer to the dock, and retry."
room.wav,"Starting room cleaning task."
room_complete.wav,"Room cleaning complete, returning to base."
room_failed.wav,"Room cleaning incomplete, could not reach a specified room, returning to base."
room_partialdone.wav,"Room cleaning complete, returning to base. Some areas could not be reached."
saving_map.wav,"Saving map, please wait."
spot.wav,"Starting spot cleaning task."
start.wav,"Starting to clean."
stop.wav,"I have finished cleaning."
stop_clean.wav,"Stop cleaning."
stop_goto.wav,"Stopping travel to target."
stop_room.wav,"Stop targeted room cleaning."
stop_scheduled_clean.wav,"Positioning failed. Scheduled cleaning cancelled."
stop_spot.wav,"Stopped spot cleaning."
stop_zone.wav,"Stopped targeted area cleaning."
sysupd_complete.wav,"Update complete."
sysupd_failed.wav,"Couldn't update firmware. Returning to previous version."
sysupd_notready.wav,"Recharge to at least twenty percent before updating."
sysupd_start.wav,"Updating firmware. This may take 5 to 10 minutes."
sysupd_wip.wav,"Updating.  Please wait."
timed_clean.wav,"Starting scheduled cleaning activities."
wifi_reset.wav,"Resetting Wi-Fi."
zone.wav,"Starting a cleanup of the target zone."
zone_complete.wav,"Target zone cleaning completed. Returning to base."
zone_failed.wav,"Zoned cleaning incomplete.  Could not reach a specified target zone. returning to base."
zone_partialdone.wav,"Target zone cleaning completed. returning to base. Some zones could not be reached."
